DQ_pct_X,TBZ_pct_Y,THI_pct_Z,accuracy_nnls_Z2
26,50,24,0.157
26,52,22,0.1993
26,54,20,0.246
26,56,18,0.2968
26,58,16,0.3517
26,60,14,0.4103
26,62,12,0.4725
26,64,10,0.5379
26,66,8,0.606
26,68,6,0.6761
26,70,4,0.7471
26,72,2,0.8175
26,74,0,0.884
28,0,72,0.4259
28,2,70,0.3948
28,4,68,0.3626
28,6,66,0.3298
28,8,64,0.2967
28,10,62,0.2636
28,12,60,0.2308
28,14,58,0.1987
28,16,56,0.1676
28,18,54,0.1378
28,20,52,0.1098
28,22,50,0.0839
28,24,48,0.0606
28,26,46,0.0405
28,28,44,0.024
28,30,42,0.0116
28,32,40,0.004
28,34,38,0.0016
28,36,36,0.0049
28,38,34,0.0144
28,40,32,0.0298
28,42,30,0.0508
28,44,28,0.0772
28,46,26,0.1087
28,48,24,0.145
28,50,22,0.186
28,52,20,0.2316
28,54,18,0.2816
28,56,16,0.336
28,58,14,0.3946
28,60,12,0.4569
28,62,10,0.5228
28,64,8,0.5915
28,66,6,0.6623
28,68,4,0.7341
28,70,2,0.8053
28,72,0,0.8736
30,0,70,0.3814
30,2,68,0.3502
30,4,66,0.3182
30,6,64,0.286
30,8,62,0.2537
30,10,60,0.2218
30,12,58,0.1907
30,14,56,0.1606
30,16,54,0.132
30,18,52,0.1052
30,20,50,0.0805
30,22,48,0.0584
30,24,46,0.0393
30,26,44,0.0235
30,28,42,0.0115
30,30,40,0.0037
30,32,38,0.0007
30,34,36,0.003
30,36,34,0.0112
30,38,32,0.0254
30,40,30,0.0451
30,42,28,0.0701
30,44,26,0.1
30,46,24,0.1347
30,48,22,0.174
30,50,20,0.218
30,52,18,0.2666
30,54,16,0.3199
30,56,14,0.3776
30,58,12,0.4395
30,60,10,0.5051
30,62,8,0.5739
30,64,6,0.6448
30,66,4,0.7168
30,68,2,0.7885
30,70,0,0.8579
32,0,68,0.3374
32,2,66,0.3065
32,4,64,0.2751
32,6,62,0.2437
32,8,60,0.2127
32,10,58,0.1824
32,12,56,0.1534
32,14,54,0.1258
32,16,52,0.1002
32,18,50,0.0767
32,20,48,0.0558
32,22,46,0.0378
32,24,44,0.0229
32,26,42,0.0116
32,28,40,0.0042
32,30,38,0.001
32,32,36,0.0026
32,34,34,0.0096
32,36,32,0.0227
32,38,30,0.0414
32,40,28,0.065
32,42,26,0.0934
32,44,24,0.1264
32,46,22,0.1639
32,48,20,0.2059
32,50,18,0.2526
32,52,16,0.3041
32,54,14,0.3603
32,56,12,0.4211
32,58,10,0.4859
32,60,8,0.5542
32,62,6,0.6249
32,64,4,0.6969
32,66,2,0.7689
32,68,0,0.839
34,0,66,0.2945
34,2,64,0.2641
34,4,62,0.2335
34,6,60,0.2034
34,8,58,0.174
34,10,56,0.1458
34,12,54,0.1193
34,14,52,0.0947
34,16,50,0.0724
34,18,48,0.0527
34,20,46,0.0359
34,22,44,0.0222
34,24,42,0.0118
34,26,40,0.0051
34,28,38,0.0023
34,30,36,0.0038
34,32,34,0.0101
34,34,32,0.0221
34,36,30,0.0397
34,38,28,0.0622
34,40,26,0.0892
34,42,24,0.1205
34,44,22,0.156
34,46,20,0.196
34,48,18,0.2404
34,50,16,0.2896
34,52,14,0.3436
34,54,12,0.4026
34,56,10,0.4661
34,58,8,0.5335
34,60,6,0.6037
34,62,4,0.6756
34,64,2,0.7476
34,66,0,0.8184
36,0,64,0.2531
36,2,62,0.2235
36,4,60,0.1941
36,6,58,0.1655
36,8,56,0.1381
36,10,54,0.1124
36,12,52,0.0888
36,14,50,0.0676
36,16,48,0.0491
36,18,46,0.0336
36,20,44,0.0211
36,22,42,0.0118
36,24,40,0.0061
36,26,38,0.0041
36,28,36,0.0062
36,30,34,0.0126
36,32,32,0.0238
36,34,30,0.0404
36,36,28,0.0617
36,38,26,0.0875
36,40,24,0.1173
36,42,22,0.151
36,44,20,0.1888
36,46,18,0.2307
36,48,16,0.2772
36,50,14,0.3285
36,52,12,0.385
36,54,10,0.4465
36,56,8,0.5126
36,58,6,0.5821
36,60,4,0.6536
36,62,2,0.7257
36,64,0,0.7969
38,0,62,0.2136
38,2,60,0.185
38,4,58,0.1571
38,6,56,0.1304
38,8,54,0.1054
38,10,52,0.0826
38,12,50,0.0623
38,14,48,0.045
38,16,46,0.0306
38,18,44,0.0194
38,20,42,0.0115
38,22,40,0.0069
38,24,38,0.006
38,26,36,0.0089
38,28,34,0.0159
38,30,32,0.0272
38,32,30,0.0431
38,34,28,0.0636
38,36,26,0.0883
38,38,24,0.1168
38,40,22,0.149
38,42,20,0.1848
38,44,18,0.2243
38,46,16,0.2679
38,48,14,0.316
38,50,12,0.3694
38,52,10,0.4282
38,54,8,0.4924
38,56,6,0.5608
38,58,4,0.6319
38,60,2,0.704
38,62,0,0.7754
40,0,60,0.1762
40,2,58,0.1491
40,4,56,0.1229
40,6,54,0.0984
40,8,52,0.0762
40,10,50,0.0567
40,12,48,0.0403
40,14,46,0.0271
40,16,44,0.0171
40,18,42,0.0105
40,20,40,0.0073
40,22,38,0.0076
40,24,36,0.0115
40,26,34,0.0193
40,28,32,0.0312
40,30,30,0.0471
40,32,28,0.0673
40,34,26,0.0914
40,36,24,0.1191
40,38,22,0.1501
40,40,20,0.1843
40,42,18,0.2217
40,44,16,0.2625
40,46,14,0.3074
40,48,12,0.357
40,50,10,0.4123
40,52,8,0.4737
40,54,6,0.5406
40,56,4,0.6112
