DQ,TBZ,THI,subset,imbalance_100x,Ratio_DQ_True,Ratio_TBZ_True,Ratio_THI_True,Ratio_DQ_NNLS,Recovery_DQ_NNLS_pct,Ratio_TBZ_NNLS,Recovery_TBZ_NNLS_pct,Ratio_THI_NNLS,Recovery_THI_NNLS_pct,Ratio_DQ_RF,Recovery_DQ_RF_pct,Ratio_TBZ_RF,Recovery_TBZ_RF_pct,Ratio_THI_RF,Recovery_THI_RF_pct,Ratio_DQ_PLS,Recovery_DQ_PLS_pct,Ratio_TBZ_PLS,Recovery_TBZ_PLS_pct,Ratio_THI_PLS,Recovery_THI_PLS_pct,Ratio_DQ_MLP,Recovery_DQ_MLP_pct,Ratio_TBZ_MLP,Recovery_TBZ_MLP_pct,Ratio_THI_MLP,Recovery_THI_MLP_pct
6,12,6,ternary,0,25.0,50.0,25.0,33.14,132.6,49.86,99.7,16.99,68.0,30.41,121.6,46.49,93.0,23.1,92.4,30.09,120.4,45.39,90.8,24.52,98.1,33.66,134.6,36.45,72.9,29.89,119.6
6,12,12,ternary,0,20.0,40.0,40.0,19.89,99.5,36.43,91.1,43.68,109.2,21.45,107.2,41.48,103.7,37.07,92.7,16.41,82.0,42.0,105.0,41.59,104.0,19.87,99.3,46.86,117.2,33.26,83.1
6,12,24,ternary,0,14.29,28.57,57.14,8.42,58.9,24.42,85.5,67.16,117.5,20.08,140.6,33.08,115.8,46.84,82.0,7.64,53.5,37.32,130.6,55.04,96.3,7.32,51.2,20.29,71.0,72.39,126.7
6,24,3,ternary,0,18.18,72.73,9.09,27.63,152.0,63.05,86.7,9.32,102.5,24.7,135.8,58.96,81.1,16.34,179.7,29.89,164.4,53.59,73.7,16.52,181.7,19.82,109.0,55.69,76.6,24.49,269.4
6,24,6,ternary,0,16.67,66.67,16.67,25.73,154.4,55.15,82.7,19.11,114.7,29.32,175.9,51.27,76.9,19.41,116.5,35.65,213.9,48.23,72.3,16.12,96.7,36.36,218.2,45.01,67.5,18.64,111.8
6,24,12,ternary,0,14.29,57.14,28.57,4.94,34.6,68.63,120.1,26.43,92.5,13.14,92.0,64.06,112.1,22.81,79.8,9.5,66.5,59.2,103.6,31.3,109.6,13.02,91.1,60.72,106.3,26.26,91.9
6,24,24,ternary,0,11.11,44.44,44.44,23.75,213.8,47.83,107.6,28.42,63.9,25.03,225.3,48.87,110.0,26.11,58.7,5.33,48.0,52.52,118.2,42.16,94.9,12.34,111.1,59.52,133.9,28.14,63.3
10,10,10,ternary,0,33.33,33.33,33.33,29.19,87.6,27.99,84.0,42.82,128.5,35.03,105.1,27.35,82.1,37.62,112.9,35.77,107.3,22.23,66.7,42.01,126.0,33.13,99.4,22.88,68.6,43.99,132.0
12,3,3,ternary,0,66.67,16.67,16.67,37.44,56.2,46.98,281.9,15.58,93.5,46.17,69.3,29.94,179.6,23.89,143.3,42.76,64.1,32.47,194.8,24.77,148.6,51.43,77.1,29.44,176.6,19.14,114.8
12,3,6,ternary,0,57.14,14.29,28.57,33.49,58.6,45.66,319.6,20.85,73.0,47.66,83.4,27.84,194.9,24.5,85.8,38.16,66.8,34.71,243.0,27.13,95.0,46.16,80.8,29.08,203.6,24.77,86.7
