condition,substance,E_pixel,thi_share_pct,total_uM
DQ0-TB50-TH150,TBZ,0.7612,75.0,200.0
DQ0-TB50-TH150,TBZ,1.1103,75.0,200.0
DQ0-TB50-TH150,TBZ,1.6239,75.0,200.0
DQ0-TB50-TH150,TBZ,1.0973,75.0,200.0
DQ0-TB50-TH150,TBZ,1.0228,75.0,200.0
DQ0-TB50-TH150,TBZ,0.624,75.0,200.0
DQ0-TB50-TH150,TBZ,1.1453,75.0,200.0
DQ0-TB50-TH150,TBZ,1.3652,75.0,200.0
DQ0-TB50-TH150,TBZ,0.5695,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4485,75.0,200.0
DQ0-TB50-TH150,TBZ,0.9331,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0219,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0006,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0113,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0033,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0297,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0311,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0087,75.0,200.0
DQ0-TB50-TH150,TBZ,0.019,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0097,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0114,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0086,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2902,75.0,200.0
DQ0-TB50-TH150,TBZ,0.7069,75.0,200.0
DQ0-TB50-TH150,TBZ,1.8207,75.0,200.0
DQ0-TB50-TH150,TBZ,1.1077,75.0,200.0
DQ0-TB50-TH150,TBZ,1.0246,75.0,200.0
DQ0-TB50-TH150,TBZ,0.9492,75.0,200.0
DQ0-TB50-TH150,TBZ,0.5475,75.0,200.0
DQ0-TB50-TH150,TBZ,0.9675,75.0,200.0
DQ0-TB50-TH150,TBZ,1.0293,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6023,75.0,200.0
DQ0-TB50-TH150,TBZ,0.399,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6018,75.0,200.0
DQ0-TB50-TH150,TBZ,0.5322,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6487,75.0,200.0
DQ0-TB50-TH150,THI,1.3332,75.0,200.0
DQ0-TB50-TH150,THI,1.3273,75.0,200.0
DQ0-TB50-TH150,THI,1.3249,75.0,200.0
DQ0-TB50-TH150,THI,1.3106,75.0,200.0
DQ0-TB50-TH150,THI,1.2985,75.0,200.0
DQ0-TB50-TH150,THI,1.2562,75.0,200.0
DQ0-TB50-TH150,THI,1.1068,75.0,200.0
DQ0-TB50-TH150,THI,1.0069,75.0,200.0
DQ0-TB50-TH150,THI,1.1653,75.0,200.0
DQ0-TB50-TH150,THI,1.1172,75.0,200.0
DQ0-TB50-TH150,THI,1.1768,75.0,200.0
DQ0-TB50-TH150,THI,1.1972,75.0,200.0
DQ0-TB50-TH150,THI,1.2328,75.0,200.0
DQ0-TB50-TH150,THI,1.2007,75.0,200.0
DQ0-TB50-TH150,THI,1.2757,75.0,200.0
DQ0-TB50-TH150,THI,1.225,75.0,200.0
DQ0-TB50-TH150,THI,1.208,75.0,200.0
DQ0-TB50-TH150,THI,1.2694,75.0,200.0
DQ0-TB50-TH150,THI,1.2966,75.0,200.0
DQ0-TB50-TH150,THI,1.2191,75.0,200.0
DQ0-TB50-TH150,THI,1.2383,75.0,200.0
DQ0-TB50-TH150,THI,1.2275,75.0,200.0
DQ0-TB50-TH150,THI,1.247,75.0,200.0
DQ0-TB50-TH150,THI,1.2516,75.0,200.0
DQ0-TB50-TH150,THI,1.2368,75.0,200.0
DQ0-TB50-TH150,THI,1.2503,75.0,200.0
DQ0-TB50-TH150,THI,1.2945,75.0,200.0
DQ0-TB50-TH150,THI,1.2474,75.0,200.0
DQ0-TB50-TH150,THI,1.1038,75.0,200.0
DQ0-TB50-TH150,THI,1.2333,75.0,200.0
DQ0-TB50-TH150,THI,1.1682,75.0,200.0
DQ0-TB50-TH150,THI,1.2212,75.0,200.0
DQ0-TB50-TH150,THI,1.1396,75.0,200.0
DQ0-TB50-TH150,THI,1.1849,75.0,200.0
DQ0-TB50-TH150,THI,1.2082,75.0,200.0
DQ0-TB50-TH150,THI,1.2624,75.0,200.0
DQ0-TB50-TH150,THI,1.2728,75.0,200.0
DQ0-TB50-TH150,THI,1.3147,75.0,200.0
DQ0-TB50-TH150,THI,1.3238,75.0,200.0
DQ0-TB50-TH150,THI,1.3333,75.0,200.0
DQ0-TB50-TH150,THI,1.3257,75.0,200.0
DQ0-TB50-TH150,THI,1.3189,75.0,200.0
DQ0-TB50-TH150,THI,1.3003,75.0,200.0
DQ0-TB50-TH150,THI,1.0037,75.0,200.0
DQ0-TB50-TH150,THI,1.1366,75.0,200.0
DQ0-TB50-TH150,THI,1.171,75.0,200.0
DQ0-TB50-TH150,THI,1.18,75.0,200.0
DQ0-TB50-TH150,THI,1.1059,75.0,200.0
DQ0-TB50-TH150,THI,1.2102,75.0,200.0
DQ0-TB50-TH150,THI,1.1854,75.0,200.0
DQ0-TB50-TH150,THI,1.2053,75.0,200.0
DQ0-TB50-TH150,THI,1.2292,75.0,200.0
DQ0-TB50-TH150,THI,1.2807,75.0,200.0
