DQ_pct_X,TBZ_pct_Y,THI_pct_Z,accuracy_mlp_Z2
48,34,18,0.5969
48,36,16,0.6113
48,38,14,0.625
48,40,12,0.6381
48,42,10,0.6504
48,44,8,0.6622
48,46,6,0.6738
48,48,4,0.6867
48,50,2,0.701
48,52,0,0.7103
50,0,50,0.5119
50,2,48,0.492
50,4,46,0.4779
50,6,44,0.4707
50,8,42,0.4684
50,10,40,0.4696
50,12,38,0.4734
50,14,36,0.4794
50,16,34,0.4873
50,18,32,0.4968
50,20,30,0.5078
50,22,28,0.5203
50,24,26,0.5339
50,26,24,0.5487
50,28,22,0.5642
50,30,20,0.5801
50,32,18,0.5963
50,34,16,0.6123
50,36,14,0.6278
50,38,12,0.6427
50,40,10,0.6569
50,42,8,0.6704
50,44,6,0.6837
50,46,4,0.6976
50,48,2,0.7127
50,50,0,0.7259
52,0,48,0.5087
52,2,46,0.4927
52,4,44,0.4822
52,6,42,0.4768
52,8,40,0.4755
52,10,38,0.4772
52,12,36,0.4813
52,14,34,0.4874
52,16,32,0.4953
52,18,30,0.505
52,20,28,0.5164
52,22,26,0.5294
52,24,24,0.5439
52,26,22,0.5596
52,28,20,0.5762
52,30,18,0.5935
52,32,16,0.6109
52,34,14,0.6281
52,36,12,0.6447
52,38,10,0.6607
52,40,8,0.6759
52,42,6,0.6905
52,44,4,0.705
52,46,2,0.7197
52,48,0,0.733
54,0,46,0.5104
54,2,44,0.4975
54,4,42,0.4892
54,6,40,0.4849
54,8,38,0.484
54,10,36,0.4857
54,12,34,0.4895
54,14,32,0.4953
54,16,30,0.5031
54,18,28,0.5128
54,20,26,0.5244
54,22,24,0.538
54,24,22,0.5534
54,26,20,0.5702
54,28,18,0.5882
54,30,16,0.6067
54,32,14,0.6255
54,34,12,0.6438
54,36,10,0.6614
54,38,8,0.6781
54,40,6,0.6939
54,42,4,0.7089
54,44,2,0.7232
54,46,0,0.736
56,0,44,0.5153
56,2,42,0.5046
56,4,40,0.4976
56,6,38,0.4939
56,8,36,0.4928
56,10,34,0.4939
56,12,32,0.4971
56,14,30,0.5023
56,16,28,0.5096
56,18,26,0.5192
56,20,24,0.5312
56,22,22,0.5456
56,24,20,0.562
56,26,18,0.5802
56,28,16,0.5996
56,30,14,0.6196
56,32,12,0.6396
56,34,10,0.6589
56,36,8,0.6771
56,38,6,0.694
56,40,4,0.7096
56,42,2,0.7238
56,44,0,0.7363
58,0,42,0.5221
58,2,40,0.5129
58,4,38,0.5065
58,6,36,0.5026
58,8,34,0.5008
58,10,32,0.501
58,12,30,0.5031
58,14,28,0.5074
58,16,26,0.5142
58,18,24,0.5238
58,20,22,0.5363
58,22,20,0.5516
58,24,18,0.5694
58,26,16,0.5892
58,28,14,0.6103
58,30,12,0.6317
58,32,10,0.6527
58,34,8,0.6725
58,36,6,0.6907
58,38,4,0.7071
58,40,2,0.7216
58,42,0,0.7339
60,0,40,0.5298
60,2,38,0.5212
60,4,36,0.5148
60,6,34,0.5102
60,8,32,0.5071
60,10,30,0.5058
60,12,28,0.5065
60,14,26,0.5097
60,16,24,0.5161
60,18,22,0.5258
60,20,20,0.5391
60,22,18,0.5558
60,24,16,0.5753
60,26,14,0.597
60,28,12,0.6197
60,30,10,0.6425
