DQ_pct_X,TBZ_pct_Y,THI_pct_Z,correct_fraction_nnls_Z2,data_density_alpha
7,67,26,0.7543,0.4779
7,68,25,0.7528,0.4664
7,69,24,0.7514,0.4544
7,70,23,0.7504,0.4419
7,71,22,0.7496,0.4289
7,72,21,0.7491,0.4154
7,73,20,0.7489,0.4014
7,74,19,0.7490,0.3871
7,75,18,0.7493,0.3723
7,76,17,0.7500,0.3573
7,77,16,0.7510,0.3420
7,78,15,0.7522,0.3265
7,79,14,0.7537,0.3109
7,80,13,0.7555,0.2951
7,81,12,0.7575,0.2794
7,82,11,0.7598,0.2638
7,83,10,0.7623,0.2482
7,84,9,0.7651,0.2329
7,85,8,0.7680,0.2178
7,86,7,0.7711,0.2031
7,87,6,0.7744,0.1887
7,88,5,0.7778,0.1747
7,89,4,0.7814,0.1613
7,90,3,0.7851,0.1483
7,91,2,0.7889,0.1359
7,92,1,0.7928,0.1241
7,93,0,0.7969,0.1129
8,0,92,0.6687,0.1223
8,1,91,0.6738,0.1342
8,2,90,0.6788,0.1467
8,3,89,0.6835,0.1599
8,4,88,0.6880,0.1736
8,5,87,0.6923,0.1879
8,6,86,0.6964,0.2027
