variant,subset,n_maps,binary_auc,component,recovery_mean,recovery_sd,recovery_median,mean_abs_recovery_error,within_80_120,macro_mean_recovery,macro_abs_mean_bias,macro_mean_abs_recovery_error
maponly_64_32_meantrain__testpool_trimmed10,binary,21,0.8786848072562358,THI,146.683853018859,90.71359927147289,123.71101064399696,58.54718025073059,0.42857142857142855,120.35518814539233,39.424376140572136,71.36467135364296
maponly_64_32_meantrain__testpool_trimmed10,ternary,68,,DQ,99.2127127376709,47.38794513569696,92.06190711736627,32.71224501257221,0.47058823529411764,115.16720092652928,15.692059101415344,39.61591618927078
maponly_64_32_meantrain__testpool_trimmed10,ternary,68,,TBZ,114.68138825381583,60.42645242439463,102.58416629112723,42.97293035341703,0.3382352941176471,115.16720092652928,15.692059101415344,39.61591618927078
maponly_64_32_meantrain__testpool_trimmed10,ternary,68,,THI,131.6075017881011,51.91953199849418,121.4070696197304,43.16257320182309,0.36764705882352944,115.16720092652928,15.692059101415344,39.61591618927078
maponly_64_32_meantrain__testpool_median,all,89,,DQ,93.81846573837073,49.56689588604506,87.48627479390149,36.790999308700634,0.4146341463414634,115.41651571295687,19.53753855404304,45.19253163913294
maponly_64_32_meantrain__testpool_median,all,89,,TBZ,119.37639418526662,85.66506068893885,97.76847364981876,53.39217022466168,0.3170731707317073,115.41651571295687,19.53753855404304,45.19253163913294
maponly_64_32_meantrain__testpool_median,all,89,,THI,133.05468721523323,58.61680778478424,121.07256334521838,45.3944253840365,0.3902439024390244,115.41651571295687,19.53753855404304,45.19253163913294
maponly_64_32_meantrain__testpool_median,binary,21,0.8718820861678005,DQ,71.11563606119303,59.988793989372155,59.000087083360484,57.514921665943525,0.07142857142857142,119.42630714608735,38.68254977195867,71.7501375225795
maponly_64_32_meantrain__testpool_median,binary,21,0.8718820861678005,TBZ,143.36461774549045,161.13797138894387,83.63182260351232,101.20545315079292,0.21428571428571427,119.42630714608735,38.68254977195867,71.7501375225795
maponly_64_32_meantrain__testpool_median,binary,21,0.8718820861678005,THI,143.79866763157858,89.50836471068891,125.13673264338456,56.530037751002055,0.35714285714285715,119.42630714608735,38.68254977195867,71.7501375225795
maponly_64_32_meantrain__testpool_median,ternary,68,,DQ,98.49257773073087,46.283205703170154,91.92362713534706,32.52430941162121,0.4852941176470588,114.59097041790058,15.59591859741334,39.72478925136453
maponly_64_32_meantrain__testpool_median,ternary,68,,TBZ,114.43764227580877,60.7359371578584,101.32627055537975,43.5482590339876,0.3382352941176471,114.59097041790058,15.59591859741334,39.72478925136453
maponly_64_32_meantrain__testpool_median,ternary,68,,THI,130.84269124716212,50.69794136980148,120.11987270183035,43.10179930848477,0.39705882352941174,114.59097041790058,15.59591859741334,39.72478925136453
maponly_256_64_bin8train__testpool_mean,all,89,,DQ,115.55112814985209,67.46898019972409,96.26833041698501,47.76649705959141,0.3902439024390244,123.55207604257845,23.552076042578452,54.52208464073383
maponly_256_64_bin8train__testpool_mean,all,89,,TBZ,149.7086652392185,113.33311871363227,123.72822553976009,71.66082448766215,0.23170731707317074,123.55207604257845,23.552076042578452,54.52208464073383
maponly_256_64_bin8train__testpool_mean,all,89,,THI,105.39643473866477,60.51190069623554,86.66241533022031,44.13893237494794,0.34146341463414637,123.55207604257845,23.552076042578452,54.52208464073383
maponly_256_64_bin8train__testpool_mean,binary,21,0.9058956916099773,DQ,107.25193493450409,95.92724911409326,70.52175423973773,68.93564820810045,0.21428571428571427,124.14571381107983,24.14571381107983,70.9782540790211
maponly_256_64_bin8train__testpool_mean,binary,21,0.9058956916099773,TBZ,154.09703928877184,151.82071824622386,84.71671163914598,96.7126688619279,0.21428571428571427,124.14571381107983,24.14571381107983,70.9782540790211
maponly_256_64_bin8train__testpool_mean,binary,21,0.9058956916099773,THI,111.08816720996356,77.23335828959338,92.11344057832935,47.286445167034955,0.35714285714285715,124.14571381107983,24.14571381107983,70.9782540790211
