sample,row,col,x_um,y_um,ink2137,DQ_1179,DQ_1521,DQ_1576,DQ,DQ_over_ink,TBZ_779,TBZ_1011,TBZ_1549,TBZ,TBZ_over_ink,THI_556,THI_1138,THI_1365,THI,THI_over_ink
leaf_tb1,7,6,300,350,20221.5,9146.68,9841.78,24339.7,14442.7,0.714224,6605.99,4500.42,23007.8,11371.4,0.562341,7052.86,8114.27,12543.2,9236.76,0.456778
leaf_tb1,7,7,350,350,16658,1077.79,7361.43,10273.3,6237.51,0.374446,6828.9,9085.73,10928.3,8947.63,0.537137,3704.37,2303.41,2470.65,2826.14,0.169657
leaf_tb1,7,8,400,350,27865.6,15879.2,10282.2,35945,20702.1,0.742929,7143.07,3513.77,32918.2,14525,0.521253,6989.84,10989.9,15393.1,11124.3,0.399212
leaf_tb1,7,9,450,350,23954.9,6851.51,12873.5,37600.4,19108.5,0.797684,6911.94,3649.91,34201.2,14921,0.62288,6047.83,6649.12,15776.4,9491.12,0.396208
leaf_tb1,6,9,450,300,23232.4,10123.8,16798.5,37069,21330.4,0.918132,7522.6,3138.11,35508.2,15389.6,0.66242,5354.75,6819.96,13863,8679.24,0.373583
leaf_tb1,6,8,400,300,19232,7274.86,9811.5,25041.9,14042.7,0.730174,6683.79,3157.43,20991.6,10277.6,0.5344,5027.51,5811.04,10336.8,7058.45,0.367015
leaf_tb1,6,7,350,300,27696.3,14258.5,21053.6,57416.4,30909.5,1.11601,19252.4,5284.89,51723.5,25420.2,0.91782,9153.91,7736.18,21509.5,12799.9,0.46215
leaf_tb1,6,6,300,300,18589.8,7159.33,10880,30905.8,16315,0.877635,5794.69,4852.67,28169.9,12939.1,0.696031,7182.55,5561.62,12119,8287.74,0.445822
leaf_tb1,6,5,250,300,18559.3,3744.23,3762.04,13988.1,7164.79,0.386048,4251.29,3911.07,13554.6,7238.99,0.390046,6974.56,4724.67,5291.39,5663.54,0.305158
leaf_tb1,6,4,200,300,21444,10234,13695.1,38618.6,20849.2,0.972262,7632.05,4030.42,34759.4,15473.9,0.721597,7354.83,6322.52,14269.7,9315.69,0.434418
leaf_tb1,6,3,150,300,25772.6,13449.6,13149,39191.8,21930.1,0.85091,9125.53,3005.71,34852.8,15661.3,0.607674,10223.3,8151.34,17846.7,12073.8,0.468474
leaf_tb1,6,2,100,300,24526.7,10490.3,12849,37822.2,20387.2,0.831222,9824.78,4163.1,32733.9,15573.9,0.634977,8378.35,7137.21,15339.5,10285,0.419339
leaf_tb1,6,1,50,300,21752.9,11364.5,10889.9,32777.5,18344,0.843289,5849.74,2389.69,28891.5,12377,0.568981,6821.5,6422.39,14498.8,9247.58,0.42512
leaf_tb1,6,0,0,300,21947.6,9625.99,15663.9,37580.8,20956.9,0.954859,7981.64,3793,33731.3,15168.6,0.691128,8418.1,6643.69,12089,9050.27,0.412358
leaf_tb1,5,0,0,250,21235.6,12346.5,15539.1,39555.1,22480.2,1.05861,9842.48,3155.42,34892.5,15963.5,0.75173,6962.54,6781.17,15616.8,9786.83,0.460868
leaf_tb1,5,1,50,250,22568,12036.6,9186.33,36284.8,19169.2,0.849399,10642.9,3713.64,29996.7,14784.4,0.655105,9580.77,9273.68,14758.4,11204.3,0.496468
