DQ_pct_X,TBZ_pct_Y,THI_pct_Z,accuracy_pls_Z2
14,6,80,0.6628
14,8,78,0.6573
14,10,76,0.6488
14,12,74,0.6377
14,14,72,0.6246
14,16,70,0.6103
14,18,68,0.5952
14,20,66,0.5798
14,22,64,0.5642
14,24,62,0.5487
14,26,60,0.5331
14,28,58,0.5175
14,30,56,0.5016
14,32,54,0.4856
14,34,52,0.4694
14,36,50,0.4536
14,38,48,0.439
14,40,46,0.4269
14,42,44,0.419
14,44,42,0.4162
14,46,40,0.4186
14,48,38,0.4246
14,50,36,0.4325
14,52,34,0.4405
14,54,32,0.4476
14,56,30,0.4532
14,58,28,0.4568
14,60,26,0.4585
14,62,24,0.4583
14,64,22,0.4565
14,66,20,0.4538
14,68,18,0.4512
14,70,16,0.4504
14,72,14,0.4533
14,74,12,0.4623
14,76,10,0.4792
14,78,8,0.5051
14,80,6,0.5397
14,82,4,0.5808
14,84,2,0.6235
14,86,0,0.6616
16,0,84,0.6903
16,2,82,0.6907
16,4,80,0.6894
16,6,78,0.6847
16,8,76,0.6761
16,10,74,0.6641
16,12,72,0.6495
16,14,70,0.6332
16,16,68,0.616
16,18,66,0.5983
16,20,64,0.5806
16,22,62,0.563
16,24,60,0.5457
16,26,58,0.5287
16,28,56,0.512
16,30,54,0.4955
16,32,52,0.4793
16,34,50,0.4638
16,36,48,0.4495
16,38,46,0.4372
16,40,44,0.4279
16,42,42,0.4226
16,44,40,0.4214
16,46,38,0.4238
16,48,36,0.4287
16,50,34,0.4346
16,52,32,0.4404
16,54,30,0.4454
16,56,28,0.4491
16,58,26,0.4512
16,60,24,0.4518
16,62,22,0.4511
16,64,20,0.4496
16,66,18,0.4482
16,68,16,0.4481
16,70,14,0.4508
16,72,12,0.4583
16,74,10,0.4723
16,76,8,0.4943
16,78,6,0.525
16,80,4,0.5635
16,82,2,0.607
16,84,0,0.6484
18,0,82,0.7171
18,2,80,0.7172
18,4,78,0.7136
18,6,76,0.7054
18,8,74,0.6927
18,10,72,0.6766
18,12,70,0.6585
18,14,68,0.6391
18,16,66,0.6192
18,18,64,0.5994
18,20,62,0.5799
18,22,60,0.561
18,24,58,0.5427
18,26,56,0.5251
18,28,54,0.5082
18,30,52,0.4921
18,32,50,0.4769
18,34,48,0.4629
18,36,46,0.4507
18,38,44,0.4409
18,40,42,0.434
18,42,40,0.4304
18,44,38,0.4298
18,46,36,0.4317
18,48,34,0.435
18,50,32,0.4389
18,52,30,0.4426
18,54,28,0.4455
18,56,26,0.4473
18,58,24,0.448
18,60,22,0.4477
18,62,20,0.4467
18,64,18,0.4458
18,66,16,0.4457
18,68,14,0.4478
18,70,12,0.4534
18,72,10,0.4642
18,74,8,0.4816
18,76,6,0.5069
18,78,4,0.5404
18,80,2,0.5807
18,82,0,0.6234
20,0,80,0.7448
20,2,78,0.743
20,4,76,0.7356
20,6,74,0.7224
20,8,72,0.7051
20,10,70,0.6851
20,12,68,0.6637
20,14,66,0.6418
20,16,64,0.6199
20,18,62,0.5986
20,20,60,0.5781
20,22,58,0.5585
20,24,56,0.5401
20,26,54,0.5228
20,28,52,0.5066
20,30,50,0.4918
20,32,48,0.4783
20,34,46,0.4665
20,36,44,0.4567
20,38,42,0.4491
20,40,40,0.4439
20,42,38,0.4412
20,44,36,0.4405
20,46,34,0.4413
20,48,32,0.4429
20,50,30,0.4448
20,52,28,0.4464
20,54,26,0.4474
20,56,24,0.4476
20,58,22,0.4471
20,60,20,0.4461
20,62,18,0.445
20,64,16,0.4446
20,66,14,0.4457
20,68,12,0.4494
20,70,10,0.4569
20,72,8,0.4697
20,74,6,0.4888
20,76,4,0.5155
20,78,2,0.55
20,80,0,0.5901
22,0,78,0.7704
22,2,76,0.7652
22,4,74,0.7522
22,6,72,0.7338
22,8,70,0.7122
22,10,68,0.6889
22,12,66,0.665
22,14,64,0.6413
22,16,62,0.6181
22,18,60,0.5961
22,20,58,0.5753
22,22,56,0.556
22,24,54,0.5382
22,26,52,0.522
22,28,50,0.5074
22,30,48,0.4945
22,32,46,0.4833
22,34,44,0.4739
22,36,42,0.4663
22,38,40,0.4605
22,40,38,0.4565
22,42,36,0.4539
22,44,34,0.4525
22,46,32,0.452
22,48,30,0.4519
22,50,28,0.4518
22,52,26,0.4515
22,54,24,0.4508
22,56,22,0.4496
22,58,20,0.4481
22,60,18,0.4466
22,62,16,0.4456
22,64,14,0.4456
22,66,12,0.4476
22,68,10,0.4523
22,70,8,0.4609
22,72,6,0.4742
22,74,4,0.4935
22,76,2,0.5204
22,78,0,0.5557
24,0,76,0.791
24,2,74,0.7798
24,4,72,0.7608
24,6,70,0.7381
24,8,68,0.7134
24,10,66,0.6879
24,12,64,0.6625
24,14,62,0.6378
24,16,60,0.6142
24,18,58,0.5922
24,20,56,0.572
24,22,54,0.5537
24,24,52,0.5373
24,26,50,0.523
24,28,48,0.5106
24,30,46,0.5001
24,32,44,0.4914
24,34,42,0.4844
24,36,40,0.4788
24,38,38,0.4743
24,40,36,0.4706
24,42,34,0.4677
24,44,32,0.4653
24,46,30,0.4633
24,48,28,0.4615
24,50,26,0.4597
24,52,24,0.4577
24,54,22,0.4556
24,56,20,0.4533
24,58,18,0.4511
24,60,16,0.4493
24,62,14,0.4483
24,64,12,0.4487
24,66,10,0.4513
24,68,8,0.4566
24,70,6,0.4655
