condition,fold,true_DQ_pct,true_TBZ_pct,true_THI_pct,nnls_DQ_pct,nnls_TBZ_pct,nnls_THI_pct,nnls_error_pct,physics_DQ_pct,physics_TBZ_pct,physics_THI_pct,physics_error_pct,rescue_gain_pct_point,eligible_physics_error_lt5
DQ12-TBZ3-THI6,2,57.14286,14.285715,28.57143,32.171219002874174,48.450161961516805,19.37861903551491,34.16444927240256,46.058273,36.96148,16.980246,22.67576789855957,11.488681373842986,False
DQ3-TBZ6-THI6,2,20.0,40.0,40.0,41.15769458553712,27.338685713580706,31.503619700793834,21.15769503261613,24.72124,45.166527,30.112236,9.887763977050781,11.269931055565348,False
DQ6-TBZ3-THI3,1,50.0,25.0,25.0,45.160960429708076,43.868767709767425,10.970271860426344,18.868767709816503,57.713818,19.910114,22.376064,7.713819980621338,11.154947729195165,False
DQ24-TBZ24-THI6,2,44.444447,44.444447,11.111112,27.936262854776412,45.61200774316422,26.451729401975545,16.508181548234006,40.123146,40.573772,19.30308,8.191969871520996,8.31621167671301,False
DQ24-TBZ3-THI6,3,72.72727,9.090909,18.181818,48.57231914760421,14.958840921682604,36.46883993062654,24.154954256950703,56.8834,18.901842,24.214766,15.843875885009766,8.311078371940937,False
DQ3-TBZ12-THI12,3,11.111112,44.444447,44.444447,25.143597474436717,25.3561706114844,49.50023191399383,19.088273791525403,22.466288,43.00067,34.53304,11.355177879333496,7.7330959121919065,False
DQ3-TBZ12-THI6,3,14.285715,57.14286,28.57143,35.76907175731737,41.72217294012265,22.50875530247028,21.483359068200922,28.357685,49.274006,22.368313,14.071969985961914,7.411389082239008,False
DQ24-TBZ6-THI24,2,44.444447,11.111112,44.444447,27.231881504911183,9.269284815130414,63.498833679871694,19.054389276862718,45.085,22.471659,32.44334,12.001103401184082,7.053285875678636,False
DQ12-TBZ6-THI6,3,50.0,25.0,25.0,31.443425271535258,42.83612846225928,25.72044626611752,18.55657472842077,43.624794,36.567665,19.807547,11.56766128540039,6.98891344302038,False
DQ24-TBZ3-THI24,1,47.058823,5.882353,47.058823,26.541977630796353,10.204336650249807,63.253685718866706,20.516845887615105,33.256897,17.962753,48.78035,13.801926612854004,6.714919274761101,False
DQ3-TBZ24-THI6,4,9.090909,72.72727,18.181818,15.314942159663675,60.50601874663738,24.179039093612182,12.221254657917473,10.303816,77.14523,12.550956,5.630862712860107,6.590391945057366,False
DQ3-TBZ3-THI3,1,33.333336,33.333336,33.333336,46.78598802500191,38.08500828067379,15.129003694228793,18.204329142351412,45.564686,29.260752,25.17457,12.231348037719727,5.972981104631685,False
DQ3-TBZ3-THI6,4,25.0,25.0,50.0,39.215435873339125,27.97641361884692,32.80815050772471,17.191849492230666,30.338392,31.212257,38.44935,11.550651550292969,5.641197941937698,False
DQ12-TBZ24-THI6,3,28.57143,57.14286,14.285715,18.108332569340803,70.77182884756898,11.119838583000668,13.628971385446018,29.009691,64.806885,6.183425,8.102288246154785,5.526683139291233,False
DQ3-TBZ12-THI3,4,16.666668,66.66667,16.666668,33.55942793395392,47.093369109036296,19.34720295691932,19.57329805429051,23.071272,51.902588,25.026142,14.764081954956055,4.809216099334456,False
DQ6-TBZ24-THI24,4,11.111112,44.444447,44.444447,32.992549083803084,36.540602167885446,30.466848748226315,21.881438262479353,24.162964,48.792282,27.044756,17.399688720703125,4.481749541776228,False
DQ24-TBZ6-THI6,3,66.66667,16.666668,16.666668,42.15849916618469,27.766302507882063,30.075198325847335,24.50816799714439,46.53483,29.830814,23.634361,20.1318416595459,4.376326337598492,False
DQ6-TBZ3-THI6,3,40.0,20.0,40.0,45.85842031841892,34.11945099860266,20.022128682886407,19.977871168055973,35.878036,38.88672,25.235249,18.88671875,1.091152418055973,False
DQ24-TBZ12-THI6,2,57.14286,28.57143,14.285715,52.0887425258854,25.812583881192104,22.098673592835162,7.81296090371753,50.09296,33.999214,15.907825,7.049897193908691,0.7630637098088382,False
DQ24-TBZ12-THI24,1,40.0,20.0,40.0,34.56019559742272,12.841579251979715,52.5982251505129,12.598225299566845,52.15715,11.965719,35.87713,12.157151222229004,0.44107407733784143,False
