raman_shift_cm-1,compound,normalized_abs_IG,within_10cm-1_of_VIP
1510.5,DQ,0.23067272,0
1512.05,DQ,0.60836875,0
1513.6,DQ,0.26909283,0
1515.15,DQ,0.49224776,0
1516.7,DQ,0.27750823,0
1518.25,DQ,0.02701138,0
1519.8,DQ,0.16523203,0
1521.35,DQ,0.59069425,0
1522.9,DQ,0.41960752,0
1524.45,DQ,0.26986951,0
1526,DQ,0.29204819,0
1527.55,DQ,0.21698046,0
1529.1,DQ,0.22761251,0
1530.65,DQ,0.42378131,0
1532.2,DQ,0.018071977,0
1533.75,DQ,0.1797393,0
1535.3,DQ,0.049462982,0
1536.85,DQ,0.30795914,0
1538.4,DQ,0.27235144,0
1539.95,DQ,0.038826227,0
1541.5,DQ,0.12828396,0
1543.05,DQ,0.10587315,0
1544.6,DQ,0.036835503,0
1546.15,DQ,0.72595406,0
1547.7,DQ,0.12894931,0
1549.25,DQ,0.22373673,0
1550.8,DQ,0.17837112,0
1552.35,DQ,0.24560018,0
1553.9,DQ,0.18492793,0
1555.45,DQ,0.058760546,0
1557,DQ,0.2318372,0
1558.55,DQ,0.10533086,0
1560.1,DQ,0.031796165,0
1561.65,DQ,0.34388465,0
1563.2,DQ,0.23973952,1
1564.75,DQ,0.015154154,1
1566.3,DQ,0.046474196,1
1567.85,DQ,0.074962743,1
1569.4,DQ,0.16808212,1
1570.95,DQ,0.55441302,1
1572.5,DQ,0.33293369,1
1574.05,DQ,0.19369307,1
1575.6,DQ,0.37749586,1
1577.15,DQ,0.57239741,1
1578.7,DQ,0.015377343,1
1580.25,DQ,0.011382096,1
1581.8,DQ,0.11469172,1
1583.35,DQ,0.34115446,0
1584.9,DQ,0.26658481,0
1586.45,DQ,0.20283845,0
1588,DQ,0.34012583,0
1589.55,DQ,0.18883778,0
1591.1,DQ,0.19833718,0
1592.65,DQ,0.018491842,0
