raman_shift_cm-1,observed_normalized,fitted_THI_component,residual_after_THI
814.55,1.8150339298765144e-05,0.0003873977922109745,0.0
816.1,4.737273023712094e-05,0.0004581979794422746,0.0
817.65,0.0,0.00028538421724487873,0.0
819.2,0.0,0.0003373471073418315,0.0
820.75,0.0,0.0001789750146332024,0.0
822.3,0.0,0.0,0.0
823.85,0.0,0.0,0.0
825.4,0.0,0.0,0.0
826.95,0.0,0.0,0.0
828.5,0.0,4.9946675751308106e-05,0.0
830.05,0.0,0.0,0.0
831.6,0.0,0.0,0.0
833.15,0.0,0.0,0.0
834.7,0.0,0.0,0.0
836.25,0.0,0.0,0.0
837.8,0.0,0.0,0.0
839.35,0.0,0.0,0.0
840.9,0.0,0.0,0.0
842.45,0.0,0.0,0.0
844.0,0.0,0.0,0.0
845.55,0.0,0.0,0.0
847.1,1.1421987740655675e-05,0.0004866377035121695,0.0
848.65,0.0005179456320397291,0.0010245339849962497,0.0
850.2,0.0002555885476896574,0.0008506595872409768,0.0
851.75,0.0008877677321471725,0.0015642425951618733,0.0
853.3,0.0009592872964557801,0.00173508492503766,0.0
854.85,0.0013643828524418648,0.002225671097273793,0.0
856.4,0.0022291823493483832,0.0031432575847154874,0.0
857.95,0.0034194307351158725,0.004318905618203384,0.0
859.5,0.004315226886577489,0.005231738324110954,0.0
861.05,0.005370856758686344,0.006320269967084666,0.0
862.6,0.00656860001500029,0.0075475029537613,0.0
864.15,0.007732532307766104,0.008732622923922897,0.0
865.7,0.008725383856723236,0.009738270672079144,0.0
867.25,0.00837031879144841,0.0094422205651964,0.0
868.8,0.008893328068094303,0.009972427135748488,0.0
870.35,0.010281860388492277,0.011322271012151316,0.0
871.9,0.009827175672728374,0.010886043694564074,0.0
873.45,0.009944104637887146,0.011004227422917894,0.0
875.0,0.009630797256019718,0.01071525948069848,0.0
876.55,0.008773419162312359,0.009895894551525902,0.0
878.1,0.007562491249176113,0.008716773377914929,0.0
879.65,0.006397228448652658,0.0076228785332120704,0.0
881.2,0.006140532185656694,0.007378948473317632,0.0
882.75,0.0057281593220278966,0.007005221104311398,0.0
884.3,0.004632349578938946,0.006012394049869943,0.0
885.85,0.004089604419118203,0.005481671541676199,0.0
887.4,0.003961302142627744,0.005376617465483974,0.0
888.95,0.0038576488653967,0.00531160584328897,0.0
890.5,0.003664576393974259,0.0051520970022498995,0.0
892.05,0.003508045488364034,0.005000046738438561,0.0
893.6,0.003493762637127623,0.005001029096818982,0.0
895.15,0.0036375903265761594,0.005162499290183722,0.0
896.7,0.003927278466361655,0.005466956127936986,0.0
898.25,0.00431501988917863,0.00586380252131253,0.0
899.8,0.00490244765796439,0.006460308798225373,0.0
901.35,0.005746485254225959,0.007311840600442617,0.0
902.9,0.006324578662445515,0.007905669532527769,0.0
904.45,0.006702707570229237,0.008297339007140943,0.0
906.0,0.0076346806238402655,0.009205237095813902,0.0
907.55,0.009312942677220246,0.010884768986950982,0.0
909.1,0.010795228953167967,0.012390918032238227,0.0
910.65,0.01230122050792687,0.013928695679053811,0.0
912.2,0.014115953939225389,0.015773468834941833,0.0
913.75,0.01601829464254775,0.017639733466165975,0.0
915.3,0.018513854270913094,0.020034090173224595,0.0
916.85,0.021817304142564446,0.023161394783025528,0.0
918.4,0.025451115361138164,0.026597841170115242,0.0
919.95,0.02830674831463418,0.029308695579335013,0.0
921.5,0.03130524813337753,0.03218142195342698,0.0
923.05,0.03521241129376763,0.03587859384446565,0.0
924.6,0.03938280647141915,0.03981658593629561,0.0
926.15,0.043222252177191285,0.043482306769020956,0.0
927.7,0.046615202949676506,0.04674672697913086,0.0
929.25,0.0500009291638767,0.04998332886712182,1.7600296754884115e-05
930.8,0.052877076248790865,0.05280196981160854,7.510643718232346e-05
932.35,0.054805667725437324,0.05475907527477366,4.659245066366419e-05
933.9,0.055627290110880044,0.055608895815427814,1.839429545223009e-05
935.45,0.05599167783942429,0.05612263881218927,0.0
937.0,0.056360982840800496,0.05656246089160064,0.0
938.55,0.05569457364717979,0.056009355536321574,0.0
940.1,0.05382727263987945,0.05431527281160069,0.0
941.65,0.05149441754760391,0.05205565914490646,0.0
943.2,0.04837340182808551,0.04902202819103555,0.0
944.75,0.04483775304111089,0.04561434805320771,0.0
946.3,0.04095851259636312,0.041895887994671005,0.0
947.85,0.036776088424949144,0.03788488009098992,0.0
949.4,0.03314684142578892,0.03433667868968939,0.0
950.95,0.02931687680181905,0.030626891903529338,0.0
952.5,0.025660338460202322,0.027064053407239292,0.0
954.05,0.022363466973726882,0.023796181187534276,0.0
955.6,0.019407785796444237,0.020904496727166974,0.0
957.15,0.017071871441915187,0.018629568448637533,0.0
958.7,0.014056743503992622,0.0156574324592052,0.0
960.25,0.01109399875205034,0.012737599935362002,0.0
961.8,0.008794888620287607,0.010471472024655913,0.0
963.35,0.007315643301661574,0.008963153229811076,0.0
964.9,0.006317776818329746,0.007963082210422086,0.0
966.45,0.0055126049082095925,0.007134767305947791,0.0
968.0,0.004566206511116057,0.006182002512419909,0.0
969.55,0.0034278055885236048,0.0050661804118218535,0.0
971.1,0.0026273851540341044,0.004184853234491018,0.0
972.65,0.0018230719102583495,0.0033426674417541525,0.0
974.2,0.001320934103086414,0.002804777076514246,0.0
975.75,0.0008950990967147128,0.0023357746346241103,0.0
977.3,0.0001770226319654544,0.0015561573220278498,0.0
978.85,0.00011109941402893633,0.0013988936387671323,0.0
980.4,0.0,0.00037090958746761513,0.0
981.95,0.0,6.168543764028362e-06,0.0
983.5,0.0,0.00016460542665290245,0.0
985.05,0.0,0.0,0.0
986.6,0.0,0.0,0.0
988.15,0.0,0.0,0.0
989.7,0.00015342134568010327,0.0,0.00015342134568010327
991.25,0.0004178045399577903,0.0,0.0004178045399577903
992.8,0.0007871692987248768,0.0,0.0007871692987248768
994.35,0.0010976441271942155,0.0,0.0010976441271942155
995.9,0.001419262382239281,0.0,0.001419262382239281
997.45,0.0016973681193082825,0.0,0.0016973681193082825
999.0,0.00193216827309958,0.0,0.00193216827309958
1000.55,0.002225133211925602,0.0,0.002225133211925602
1002.1,0.0025418412253430875,0.0,0.0025418412253430875
1003.65,0.002921837061439847,0.0,0.002921837061439847
1005.2,0.003353520162087858,0.0,0.003353520162087858
1006.75,0.0038248126802265564,0.0,0.0038248126802265564
1008.3,0.004277200807620605,0.0,0.004277200807620605
1009.85,0.0043329533417145695,0.0,0.0043329533417145695
1011.4,0.004365607193635619,0.0,0.004365607193635619
1012.95,0.004378145953428831,0.0,0.004378145953428831
1014.5,0.003961240337323777,0.0,0.003961240337323777
1016.05,0.0034671244585409355,0.00020026395885657,0.0032668604996843654
1017.6,0.0030413152313667566,0.0004489874477940304,0.0025923277835727264
1019.15,0.0024680249040982647,0.0004618938318942815,0.0020061310722039832
1020.7,0.0019328394116785135,0.00046288822381663624,0.0014699511878618773
1022.25,0.0015500699018383833,0.0005853950707604849,0.0009646748310778984
1023.8,0.0008850551725237882,0.00022557657600185823,0.00065947859652193
1025.35,0.00040897222564947313,0.0,0.00040897222564947313
1026.9,0.00018988006728512692,0.0,0.00018988006728512692
1028.45,3.642292713231871e-05,4.2421501177289596e-05,0.0
1030.0,0.0,0.0,0.0
1031.55,0.0,0.0,0.0
1033.1,0.0,0.0,0.0
1034.65,0.0,0.0,0.0
1036.2,0.0,0.0,0.0
1037.75,0.0,0.0,0.0
1039.3,0.0,0.0,0.0
1040.85,0.0,0.0,0.0
1042.4,0.0,0.0,0.0
1043.95,0.0,0.0,0.0
1045.5,0.0,0.0,0.0
1047.05,0.0,0.0,0.0
1048.6,0.0,0.0,0.0
1050.15,0.0,0.0,0.0
1051.7,0.0,0.0,0.0
1053.25,0.0,8.397546611959333e-05,0.0
1054.8,0.0,0.0007042070752522374,0.0
1056.35,5.96533935149726e-05,0.0008629133625183031,0.0
1057.9,0.0002598200480080422,0.0009756173241676956,0.0
1059.45,0.000747897022755252,0.0013542802580479524,0.0
1061.0,0.0013563930693990648,0.0018831867274443394,0.0
1062.55,0.001284263797237745,0.001770462051511996,0.0
1064.1,0.001334804861675057,0.0017820582800488988,0.0
1065.65,0.001342422774814308,0.0017446317440879488,0.0
1067.2,0.0016421698474258987,0.0020141557152064168,0.0
1068.75,0.0020108265013343883,0.0023131161736198646,0.0
1070.3,0.0024734632677319433,0.0028116208711946155,0.0
1071.85,0.004042561765284668,0.004380162936781708,0.0
1073.4,0.004497248687509483,0.004911314011153643,0.0
1074.95,0.004363547099975017,0.0048727802969837156,0.0
1076.5,0.004161274415286218,0.0047752565191522345,0.0
